Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Aliou Badara Baldé,de Bundesliga,21.0,91,0,0,"MF,FW",1,0,0,1,2,30,2,0.2,0.2,
Loïc Bade,es La Liga,24.0,2686,1,1,DF,47,29,162,9,17,1173,4,0.6,0.7,
Milan Badelj,it Serie A,35.0,1472,1,0,MF,29,20,43,10,9,499,12,1.0,1.1,
Benoît Badiashile,eng Premier League,23.0,334,0,0,DF,9,6,12,0,0,177,0,0.0,0.0,
Alex Baena,es La Liga,23.0,2595,7,9,"MF,FW",28,22,22,41,21,895,95,7.1,11.7,
Juma Bah,es La Liga,18.0,864,0,0,DF,10,12,60,3,3,265,1,0.3,0.0,
Juma Bah,fr Ligue 1,18.0,686,0,0,DF,16,17,47,1,3,265,2,0.1,0.2,
Leon Bailey,eng Premier League,26.0,1139,1,2,"FW,MF",7,3,12,24,22,348,16,1.7,1.5,
Eric Bailly,es La Liga,30.0,617,0,0,DF,12,6,29,1,3,200,0,0.3,0.0,
Theo Bair,fr Ligue 1,24.0,939,2,1,FW,4,3,10,5,2,143,10,3.0,1.2,
Stefan Bajcetic,es La Liga,19.0,969,1,0,"MF,DF",29,15,26,8,11,238,7,0.3,0.2,
Cédric Bakambu,es La Liga,33.0,710,2,2,FW,6,0,5,7,1,113,8,3.2,0.6,
Mitchel Bakker,it Serie A,24.0,22,0,0,MF,1,0,0,0,0,6,0,0.0,0.0,
Mitchel Bakker,fr Ligue 1,24.0,1139,3,2,"FW,DF",23,12,15,14,11,439,23,3.0,2.7,
Darryl Bakola,fr Ligue 1,16.0,14,0,0,"DF,MF",1,0,0,0,0,9,0,0.0,0.0,
Ridle Baku,de Bundesliga,26.0,1170,2,1,"FW,MF",23,15,15,22,9,352,13,1.5,1.3,
Ridle Baku,de Bundesliga,26.0,1275,2,3,"DF,MF",24,9,45,22,16,383,14,1.4,1.5,
Dilane Bakwa,fr Ligue 1,21.0,2497,6,8,"MF,DF",26,15,27,23,50,890,47,4.7,6.6,
Tommaso Baldanzi,it Serie A,21.0,832,1,1,"MF,FW",12,6,8,14,17,292,10,1.4,1.0,
Alejandro Balde,es La Liga,20.0,2284,0,4,DF,18,5,27,28,46,1075,26,0.5,3.4,
Keita Baldé,it Serie A,29.0,638,2,0,FW,1,2,0,4,5,216,4,1.1,0.2,
Carlos Baleba,eng Premier League,20.0,2661,3,1,MF,79,46,44,14,33,971,21,3.1,1.3,
